"","subject","activity","feature","statistic","axis","mean"
"1836",7,"standing","fBodyAccJerk","std","Z",-0.974533710754717
"1837",7,"standing","fBodyGyro","mean","X",-0.938121637735849
"1838",7,"standing","fBodyGyro","mean","Y",-0.957548671320755
"1839",7,"standing","fBodyGyro","mean","Z",-0.957165056226415
"1840",7,"standing","fBodyGyro","std","X",-0.947891986226415
"1841",7,"standing","fBodyGyro","std","Y",-0.945818157735849
"1842",7,"standing","fBodyGyro","std","Z",-0.954339406415094
"1843",7,"standing","tBodyAcc","mean","X",0.282723539433962
"1844",7,"standing","tBodyAcc","mean","Y",-0.0145740341037736
"1845",7,"standing","tBodyAcc","mean","Z",-0.0997778303207547
"1846",7,"standing","tBodyAcc","std","X",-0.979307570377358
"1847",7,"standing","tBodyAcc","std","Y",-0.923400921886792
"1848",7,"standing","tBodyAcc","std","Z",-0.917064168490566
"1849",7,"standing","tBodyAccJerk","mean","X",0.0751915112830189
"1850",7,"standing","tBodyAccJerk","mean","Y",0.00694700354075472
"1851",7,"standing","tBodyAccJerk","mean","Z",-0.0108420294035849
"1852",7,"standing","tBodyAccJerk","std","X",-0.976403544716981
"1853",7,"standing","tBodyAccJerk","std","Y",-0.965810609622642
"1854",7,"standing","tBodyAccJerk","std","Z",-0.972060053207547
"1855",7,"standing","tBodyGyro","mean","X",-0.0291582212545283
"1856",7,"standing","tBodyGyro","mean","Y",-0.0774336443396226
"1857",7,"standing","tBodyGyro","mean","Z",0.0851045000566038
"1858",7,"standing","tBodyGyro","std","X",-0.945247687358491
"1859",7,"standing","tBodyGyro","std","Y",-0.949646946792453
"1860",7,"standing","tBodyGyro","std","Z",-0.951630777358491
"1861",7,"standing","tBodyGyroJerk","mean","X",-0.0901539662169811
"1862",7,"standing","tBodyGyroJerk","mean","Y",-0.0412797611886792
"1863",7,"standing","tBodyGyroJerk","mean","Z",-0.0545390015471698
"1864",7,"standing","tBodyGyroJerk","std","X",-0.96598339754717
"1865",7,"standing","tBodyGyroJerk","std","Y",-0.976837757358491
"1866",7,"standing","tBodyGyroJerk","std","Z",-0.978166790943396
"1867",7,"standing","tGravityAcc","mean","X",0.958728687924528
"1868",7,"standing","tGravityAcc","mean","Y",-0.117607048924528
"1869",7,"standing","tGravityAcc","mean","Z",-0.0516573721320755
"1870",7,"standing","tGravityAcc","std","X",-0.987917503962264
"1871",7,"standing","tGravityAcc","std","Y",-0.966162998679245
"1872",7,"standing","tGravityAcc","std","Z",-0.939161014716981
"1873",7,"walking","fBodyAcc","mean","X",-0.343048405789474
"1874",7,"walking","fBodyAcc","mean","Y",-0.0641564202736842
"1875",7,"walking","fBodyAcc","mean","Z",0.0385832252345614
"1876",7,"walking","fBodyAcc","std","X",-0.322034908070175
"1877",7,"walking","fBodyAcc","std","Y",-0.143721823263158
"1878",7,"walking","fBodyAcc","std","Z",0.133316828089298
"1879",7,"walking","fBodyAccJerk","mean","X",-0.383715797719298
"1880",7,"walking","fBodyAccJerk","mean","Y",-0.123192887383684
"1881",7,"walking","fBodyAccJerk","mean","Z",-0.106490372892632
"1882",7,"walking","fBodyAccJerk","std","X",-0.365314790947368
"1883",7,"walking","fBodyAccJerk","std","Y",-0.0431917460807018
"1884",7,"walking","fBodyAccJerk","std","Z",-0.190751539207018
"1885",7,"walking","fBodyGyro","mean","X",-0.318395104666667
"1886",7,"walking","fBodyGyro","mean","Y",-0.151966687436842
"1887",7,"walking","fBodyGyro","mean","Z",-0.366733617894737
"1888",7,"walking","fBodyGyro","std","X",-0.563615256666667
"1889",7,"walking","fBodyGyro","std","Y",-0.290859379017544
"1890",7,"walking","fBodyGyro","std","Z",-0.463270018245614
"1891",7,"walking","tBodyAcc","mean","X",0.275592961754386
"1892",7,"walking","tBodyAcc","mean","Y",-0.018653665345614
"1893",7,"walking","tBodyAcc","mean","Z",-0.110912234947368
"1894",7,"walking","tBodyAcc","std","X",-0.327243240701754
"1895",7,"walking","tBodyAcc","std","Y",-0.0772618561052631
"1896",7,"walking","tBodyAcc","std","Z",0.159631283261403
"1897",7,"walking","tBodyAccJerk","mean","X",0.0901462649192983
"1898",7,"walking","tBodyAccJerk","mean","Y",0.0184322723280702
"1899",7,"walking","tBodyAccJerk","mean","Z",-0.0210398551649123
"1900",7,"walking","tBodyAccJerk","std","X",-0.346026226140351
"1901",7,"walking","tBodyAccJerk","std","Y",-0.0547448948245614
"1902",7,"walking","tBodyAccJerk","std","Z",-0.149488514397895
"1903",7,"walking","tBodyGyro","mean","X",0.00228835208526316
"1904",7,"walking","tBodyGyro","mean","Y",-0.0837113724842105
"1905",7,"walking","tBodyGyro","mean","Z",0.0641104602035088
"1906",7,"walking","tBodyGyro","std","X",-0.503313517017544
"1907",7,"walking","tBodyGyro","std","Y",-0.23109830545614
"1908",7,"walking","tBodyGyro","std","Z",-0.396013535263158
"1909",7,"walking","tBodyGyroJerk","mean","X",-0.123654199751333
"1910",7,"walking","tBodyGyroJerk","mean","Y",-0.0447766029745614
"1911",7,"walking","tBodyGyroJerk","mean","Z",-0.0495713093294737
"1912",7,"walking","tBodyGyroJerk","std","X",-0.21166729682807
"1913",7,"walking","tBodyGyroJerk","std","Y",-0.174136410738596
"1914",7,"walking","tBodyGyroJerk","std","Z",-0.458302971403509
"1915",7,"walking","tGravityAcc","mean","X",0.932566472280702
"1916",7,"walking","tGravityAcc","mean","Y",-0.159097003684211
"1917",7,"walking","tGravityAcc","mean","Z",-0.160846924029807
"1918",7,"walking","tGravityAcc","std","X",-0.979851271403509
"1919",7,"walking","tGravityAcc","std","Y",-0.969404155087719
"1920",7,"walking","tGravityAcc","std","Z",-0.952159770526316
"1921",7,"walking_downstairs","fBodyAcc","mean","X",0.0443428315319149
"1922",7,"walking_downstairs","fBodyAcc","mean","Y",-0.145302311446808
"1923",7,"walking_downstairs","fBodyAcc","mean","Z",-0.139216222106383
"1924",7,"walking_downstairs","fBodyAcc","std","X",0.0730110797851064
"1925",7,"walking_downstairs","fBodyAcc","std","Y",-0.190187141297872
"1926",7,"walking_downstairs","fBodyAcc","std","Z",-0.100121492529787
"1927",7,"walking_downstairs","fBodyAccJerk","mean","X",-0.0305226686191489
"1928",7,"walking_downstairs","fBodyAccJerk","mean","Y",-0.316236510319149
"1929",7,"walking_downstairs","fBodyAccJerk","mean","Z",-0.296494902765957
"1930",7,"walking_downstairs","fBodyAccJerk","std","X",-0.00426289144680851
"1931",7,"walking_downstairs","fBodyAccJerk","std","Y",-0.324378560319149
"1932",7,"walking_downstairs","fBodyAccJerk","std","Z",-0.397774503468085
"1933",7,"walking_downstairs","fBodyGyro","mean","X",-0.33930147
"1934",7,"walking_downstairs","fBodyGyro","mean","Y",-0.21444307293617
"1935",7,"walking_downstairs","fBodyGyro","mean","Z",-0.299600267680851
"1936",7,"walking_downstairs","fBodyGyro","std","X",-0.432730974446809
"1937",7,"walking_downstairs","fBodyGyro","std","Y",-0.351717743191489
"1938",7,"walking_downstairs","fBodyGyro","std","Z",-0.495120053191489
"1939",7,"walking_downstairs","tBodyAcc","mean","X",0.28030708
"1940",7,"walking_downstairs","tBodyAcc","mean","Y",-0.0166332372978723
"1941",7,"walking_downstairs","tBodyAcc","mean","Z",-0.096938308587234
"1942",7,"walking_downstairs","tBodyAcc","std","X",0.0660815600978723
"1943",7,"walking_downstairs","tBodyAcc","std","Y",-0.138179072734043
"1944",7,"walking_downstairs","tBodyAcc","std","Z",-0.0636402447755319
"1945",7,"walking_downstairs","tBodyAccJerk","mean","X",0.0968926184638298
"1946",7,"walking_downstairs","tBodyAccJerk","mean","Y",-0.0191061075170213
"1947",7,"walking_downstairs","tBodyAccJerk","mean","Z",-0.0160390392510638
"1948",7,"walking_downstairs","tBodyAccJerk","std","X",0.0285033927287234
"1949",7,"walking_downstairs","tBodyAccJerk","std","Y",-0.296279674759574
"1950",7,"walking_downstairs","tBodyAccJerk","std","Z",-0.347107758021277
"1951",7,"walking_downstairs","tBodyGyro","mean","X",-0.105409612961702
"1952",7,"walking_downstairs","tBodyGyro","mean","Y",-0.049717460606383
"1953",7,"walking_downstairs","tBodyGyro","mean","Z",0.116894769042766
"1954",7,"walking_downstairs","tBodyGyro","std","X",-0.407744096
"1955",7,"walking_downstairs","tBodyGyro","std","Y",-0.29262613606383
"1956",7,"walking_downstairs","tBodyGyro","std","Z",-0.401051415531915
"1957",7,"walking_downstairs","tBodyGyroJerk","mean","X",-0.0597273512680851
"1958",7,"walking_downstairs","tBodyGyroJerk","mean","Y",-0.0381904275744681
"1959",7,"walking_downstairs","tBodyGyroJerk","mean","Z",-0.0789469342553192
"1960",7,"walking_downstairs","tBodyGyroJerk","std","X",-0.510731018297872
"1961",7,"walking_downstairs","tBodyGyroJerk","std","Y",-0.299520205208511
"1962",7,"walking_downstairs","tBodyGyroJerk","std","Z",-0.425200371553192
"1963",7,"walking_downstairs","tGravityAcc","mean","X",0.930623632765957
"1964",7,"walking_downstairs","tGravityAcc","mean","Y",-0.12987167306383
"1965",7,"walking_downstairs","tGravityAcc","mean","Z",-0.154935538544681
"1966",7,"walking_downstairs","tGravityAcc","std","X",-0.964875962978723
"1967",7,"walking_downstairs","tGravityAcc","std","Y",-0.952678693617021
"1968",7,"walking_downstairs","tGravityAcc","std","Z",-0.92875646893617
"1969",7,"walking_upstairs","fBodyAcc","mean","X",-0.336199426470588
"1970",7,"walking_upstairs","fBodyAcc","mean","Y",-0.381590523137255
"1971",7,"walking_upstairs","fBodyAcc","mean","Z",-0.317461021372549
"1972",7,"walking_upstairs","fBodyAcc","std","X",-0.279870086215686
"1973",7,"walking_upstairs","fBodyAcc","std","Y",-0.341025552941176
"1974",7,"walking_upstairs","fBodyAcc","std","Z",-0.124912269443137
"1975",7,"walking_upstairs","fBodyAccJerk","mean","X",-0.454647881960784
"1976",7,"walking_upstairs","fBodyAccJerk","mean","Y",-0.53707567
"1977",7,"walking_upstairs","fBodyAccJerk","mean","Z",-0.581764526862745
"1978",7,"walking_upstairs","fBodyAccJerk","std","X",-0.426974025686275
"1979",7,"walking_upstairs","fBodyAccJerk","std","Y",-0.53419130254902
"1980",7,"walking_upstairs","fBodyAccJerk","std","Z",-0.631919608823529
"1981",7,"walking_upstairs","fBodyGyro","mean","X",-0.383889342745098
"1982",7,"walking_upstairs","fBodyGyro","mean","Y",-0.567920266470588
"1983",7,"walking_upstairs","fBodyGyro","mean","Z",-0.408150266666667
"1984",7,"walking_upstairs","fBodyGyro","std","X",-0.368636961470588
"1985",7,"walking_upstairs","fBodyGyro","std","Y",-0.579964614705882
"1986",7,"walking_upstairs","fBodyGyro","std","Z",-0.393062890647059
"1987",7,"walking_upstairs","tBodyAcc","mean","X",0.248706923078431
"1988",7,"walking_upstairs","tBodyAcc","mean","Y",-0.0275639005607843
"1989",7,"walking_upstairs","tBodyAcc","mean","Z",-0.143769688803922
"1990",7,"walking_upstairs","tBodyAcc","std","X",-0.29487297445098
"1991",7,"walking_upstairs","tBodyAcc","std","Y",-0.32616002254902
"1992",7,"walking_upstairs","tBodyAcc","std","Z",-0.145665025639216
"1993",7,"walking_upstairs","tBodyAccJerk","mean","X",0.0724649938509804
"1994",7,"walking_upstairs","tBodyAccJerk","mean","Y",-0.000812387078431372
"1995",7,"walking_upstairs","tBodyAccJerk","mean","Z",-7.4519666666666e-05
"1996",7,"walking_upstairs","tBodyAccJerk","std","X",-0.415153115882353
"1997",7,"walking_upstairs","tBodyAccJerk","std","Y",-0.519897595686274
"1998",7,"walking_upstairs","tBodyAccJerk","std","Z",-0.60780843627451
"1999",7,"walking_upstairs","tBodyGyro","mean","X",-0.138778108029412
"2000",7,"walking_upstairs","tBodyGyro","mean","Y",-0.00247161973
"2001",7,"walking_upstairs","tBodyGyro","mean","Z",0.139217071509804
"2002",7,"walking_upstairs","tBodyGyro","std","X",-0.363853236862745
"2003",7,"walking_upstairs","tBodyGyro","std","Y",-0.572996820784314
"2004",7,"walking_upstairs","tBodyGyro","std","Z",-0.348980051411765
"2005",7,"walking_upstairs","tBodyGyroJerk","mean","X",-0.0856640866647059
"2006",7,"walking_upstairs","tBodyGyroJerk","mean","Y",-0.0482219105196078
"2007",7,"walking_upstairs","tBodyGyroJerk","mean","Z",-0.072451747827451
"2008",7,"walking_upstairs","tBodyGyroJerk","std","X",-0.616812659215686
"2009",7,"walking_upstairs","tBodyGyroJerk","std","Y",-0.671243739607843
"2010",7,"walking_upstairs","tBodyGyroJerk","std","Z",-0.682184175686275
"2011",7,"walking_upstairs","tGravityAcc","mean","X",0.81874656
"2012",7,"walking_upstairs","tGravityAcc","mean","Y",-0.240950944117647
"2013",7,"walking_upstairs","tGravityAcc","mean","Z",-0.403599709607843
"2014",7,"walking_upstairs","tGravityAcc","std","X",-0.932823053333333
"2015",7,"walking_upstairs","tGravityAcc","std","Y",-0.939774255490196
"2016",7,"walking_upstairs","tGravityAcc","std","Z",-0.881675909607843
"2017",8,"laying","fBodyAcc","mean","X",-0.953538563888889
"2018",8,"laying","fBodyAcc","mean","Y",-0.951816663703704
"2019",8,"laying","fBodyAcc","mean","Z",-0.944269514074074
"2020",8,"laying","fBodyAcc","std","X",-0.940125298333333
"2021",8,"laying","fBodyAcc","std","Y",-0.931236756962963
"2022",8,"laying","fBodyAcc","std","Z",-0.931146497518519
"2023",8,"laying","fBodyAccJerk","mean","X",-0.973110596111111
"2024",8,"laying","fBodyAccJerk","mean","Y",-0.975877437407407
"2025",8,"laying","fBodyAccJerk","mean","Z",-0.962111136666667
"2026",8,"laying","fBodyAccJerk","std","X",-0.975959911481481
"2027",8,"laying","fBodyAccJerk","std","Y",-0.979170881666667
"2028",8,"laying","fBodyAccJerk","std","Z",-0.968699222962963
"2029",8,"laying","fBodyGyro","mean","X",-0.957903886111111
"2030",8,"laying","fBodyGyro","mean","Y",-0.957411160185185
"2031",8,"laying","fBodyGyro","mean","Z",-0.967461239074074
"2032",8,"laying","fBodyGyro","std","X",-0.967846360740741
"2033",8,"laying","fBodyGyro","std","Y",-0.950316470925926
"2034",8,"laying","fBodyGyro","std","Z",-0.970671966481481
"2035",8,"laying","tBodyAcc","mean","X",0.261254282907407
"2036",8,"laying","tBodyAcc","mean","Y",-0.0212281733881481
"2037",8,"laying","tBodyAcc","mean","Z",-0.102245365611111
"2038",8,"laying","tBodyAcc","std","X",-0.94304121537037
"2039",8,"laying","tBodyAcc","std","Y",-0.93489116
"2040",8,"laying","tBodyAcc","std","Z",-0.932491454407407
"2041",8,"laying","tBodyAccJerk","mean","X",0.0878326902592593
"2042",8,"laying","tBodyAccJerk","mean","Y",0.0233299159137037
"2043",8,"laying","tBodyAccJerk","mean","Z",-0.0169218791344444
"2044",8,"laying","tBodyAccJerk","std","X",-0.973253042222222
"2045",8,"laying","tBodyAccJerk","std","Y",-0.976520952037037
"2046",8,"laying","tBodyAccJerk","std","Z",-0.96608757462963
"2047",8,"laying","tBodyGyro","mean","X",0.00535361206851852
"2048",8,"laying","tBodyGyro","mean","Y",-0.0891374138592593
"2049",8,"laying","tBodyGyro","mean","Z",0.13818830737037
"2050",8,"laying","tBodyGyro","std","X",-0.965204017592593
"2051",8,"laying","tBodyGyro","std","Y",-0.952039385740741
"2052",8,"laying","tBodyGyro","std","Z",-0.96758975462963
"2053",8,"laying","tBodyGyroJerk","mean","X",-0.106445008314815
"2054",8,"laying","tBodyGyroJerk","mean","Y",-0.0389735198722222
"2055",8,"laying","tBodyGyroJerk","mean","Z",-0.0694123150925926
"2056",8,"laying","tBodyGyroJerk","std","X",-0.969924077407407
"2057",8,"laying","tBodyGyroJerk","std","Y",-0.974186451851852
"2058",8,"laying","tBodyGyroJerk","std","Z",-0.987601203703704
"2059",8,"laying","tGravityAcc","mean","X",-0.405930036111111
"2060",8,"laying","tGravityAcc","mean","Y",0.589922434814815
"2061",8,"laying","tGravityAcc","mean","Z",0.719831539259259
"2062",8,"laying","tGravityAcc","std","X",-0.918873192333333
"2063",8,"laying","tGravityAcc","std","Y",-0.957990036481482
"2064",8,"laying","tGravityAcc","std","Z",-0.94183626337037
"2065",8,"sitting","fBodyAcc","mean","X",-0.981142909782609
"2066",8,"sitting","fBodyAcc","mean","Y",-0.94421971826087
"2067",8,"sitting","fBodyAcc","mean","Z",-0.959436275869565
"2068",8,"sitting","fBodyAcc","std","X",-0.978256730652174
"2069",8,"sitting","fBodyAcc","std","Y",-0.923829969347826
"2070",8,"sitting","fBodyAcc","std","Z",-0.933889846521739
"2071",8,"sitting","fBodyAccJerk","mean","X",-0.984977270652174
"2072",8,"sitting","fBodyAccJerk","mean","Y",-0.980221104565217
"2073",8,"sitting","fBodyAccJerk","mean","Z",-0.982995311086956
"2074",8,"sitting","fBodyAccJerk","std","X",-0.986913610652174
"2075",8,"sitting","fBodyAccJerk","std","Y",-0.983038783478261
"2076",8,"sitting","fBodyAccJerk","std","Z",-0.986185349347826
"2077",8,"sitting","fBodyGyro","mean","X",-0.982200309782609
"2078",8,"sitting","fBodyGyro","mean","Y",-0.97658989
"2079",8,"sitting","fBodyGyro","mean","Z",-0.961798676956522
"2080",8,"sitting","fBodyGyro","std","X",-0.985339301521739
"2081",8,"sitting","fBodyGyro","std","Y",-0.96892443326087
"2082",8,"sitting","fBodyGyro","std","Z",-0.962632253913044
"2083",8,"sitting","tBodyAcc","mean","X",0.267491472934783
"2084",8,"sitting","tBodyAcc","mean","Y",-0.00672550621304348
"2085",8,"sitting","tBodyAcc","mean","Z",-0.104461049130435
"2086",8,"sitting","tBodyAcc","std","X",-0.979026152391304
"2087",8,"sitting","tBodyAcc","std","Y",-0.927331997021739
"2088",8,"sitting","tBodyAcc","std","Z",-0.939553030217391
"2089",8,"sitting","tBodyAccJerk","mean","X",0.0786713761086957
"2090",8,"sitting","tBodyAccJerk","mean","Y",-0.00657516306713044
"2091",8,"sitting","tBodyAccJerk","mean","Z",-0.0106808920069565
"2092",8,"sitting","tBodyAccJerk","std","X",-0.985188753695652
"2093",8,"sitting","tBodyAccJerk","std","Y",-0.980784606086957
"2094",8,"sitting","tBodyAccJerk","std","Z",-0.985285807173913
"2095",8,"sitting","tBodyGyro","mean","X",-0.0547396987173913
"2096",8,"sitting","tBodyGyro","mean","Y",-0.0955089236521739
"2097",8,"sitting","tBodyGyro","mean","Z",0.0716048809782609
"2098",8,"sitting","tBodyGyro","std","X",-0.984524052826087
"2099",8,"sitting","tBodyGyro","std","Y",-0.97150069673913
"2100",8,"sitting","tBodyGyro","std","Z",-0.959623548478261
"2101",8,"sitting","tBodyGyroJerk","mean","X",-0.0923150250434783
"2102",8,"sitting","tBodyGyroJerk","mean","Y",-0.0402673770652174
"2103",8,"sitting","tBodyGyroJerk","mean","Z",-0.0445732240217391
"2104",8,"sitting","tBodyGyroJerk","std","X",-0.993264647391304
"2105",8,"sitting","tBodyGyroJerk","std","Y",-0.98887627673913
"2106",8,"sitting","tBodyGyroJerk","std","Z",-0.985241405434783
"2107",8,"sitting","tGravityAcc","mean","X",0.832453878043478
"2108",8,"sitting","tGravityAcc","mean","Y",0.240095117065217
"2109",8,"sitting","tGravityAcc","mean","Z",0.263895185521739
"2110",8,"sitting","tGravityAcc","std","X",-0.966757967173913
"2111",8,"sitting","tGravityAcc","std","Y",-0.937462301369565
"2112",8,"sitting","tGravityAcc","std","Z",-0.935475331521739
"2113",8,"standing","fBodyAcc","mean","X",-0.988219862222222
"2114",8,"standing","fBodyAcc","mean","Y",-0.9500491
"2115",8,"standing","fBodyAcc","mean","Z",-0.950362935555556
"2116",8,"standing","fBodyAcc","std","X",-0.98918374962963
"2117",8,"standing","fBodyAcc","std","Y",-0.936231722777778
"2118",8,"standing","fBodyAcc","std","Z",-0.919744963888889
"2119",8,"standing","fBodyAccJerk","mean","X",-0.989029238518519
"2120",8,"standing","fBodyAccJerk","mean","Y",-0.976177675
"2121",8,"standing","fBodyAccJerk","mean","Z",-0.979477193333333
"2122",8,"standing","fBodyAccJerk","std","X",-0.990414086851852
"2123",8,"standing","fBodyAccJerk","std","Y",-0.97858173
"2124",8,"standing","fBodyAccJerk","std","Z",-0.984465744444444
"2125",8,"standing","fBodyGyro","mean","X",-0.969677435925926
"2126",8,"standing","fBodyGyro","mean","Y",-0.972595487037037
"2127",8,"standing","fBodyGyro","mean","Z",-0.975512276666667
"2128",8,"standing","fBodyGyro","std","X",-0.974200997592593
"2129",8,"standing","fBodyGyro","std","Y",-0.968055495925926
"2130",8,"standing","fBodyGyro","std","Z",-0.975976456111111
"2131",8,"standing","tBodyAcc","mean","X",0.279620986111111
"2132",8,"standing","tBodyAcc","mean","Y",-0.0148113067148148
"2133",8,"standing","tBodyAcc","mean","Z",-0.106114996837037
"2134",8,"standing","tBodyAcc","std","X",-0.988815418148148
"2135",8,"standing","tBodyAcc","std","Y",-0.938479429074074
"2136",8,"standing","tBodyAcc","std","Z",-0.926065255185185
"2137",8,"standing","tBodyAccJerk","mean","X",0.0753739045185185
"2138",8,"standing","tBodyAccJerk","mean","Y",0.00814951727462963
"2139",8,"standing","tBodyAccJerk","mean","Z",0.00322153267648148
"2140",8,"standing","tBodyAccJerk","std","X",-0.989198879814815
"2141",8,"standing","tBodyAccJerk","std","Y",-0.976442140740741
"2142",8,"standing","tBodyAccJerk","std","Z",-0.982610899259259
"2143",8,"standing","tBodyGyro","mean","X",-0.0219671978203704
"2144",8,"standing","tBodyGyro","mean","Y",-0.0280117633814815
"2145",8,"standing","tBodyGyro","mean","Z",0.063688907
"2146",8,"standing","tBodyGyro","std","X",-0.972990379814815
"2147",8,"standing","tBodyGyro","std","Y",-0.969421045555556
"2148",8,"standing","tBodyGyro","std","Z",-0.974118322407407
"2149",8,"standing","tBodyGyroJerk","mean","X",-0.097757576
"2150",8,"standing","tBodyGyroJerk","mean","Y",-0.0485190684259259
"2151",8,"standing","tBodyGyroJerk","mean","Z",-0.0478483225666667
"2152",8,"standing","tBodyGyroJerk","std","X",-0.981573085740741
"2153",8,"standing","tBodyGyroJerk","std","Y",-0.985508765185185
"2154",8,"standing","tBodyGyroJerk","std","Z",-0.989270900740741
"2155",8,"standing","tGravityAcc","mean","X",0.957669921111111
"2156",8,"standing","tGravityAcc","mean","Y",-0.0904603488214815
"2157",8,"standing","tGravityAcc","mean","Z",-0.0979392024814815
"2158",8,"standing","tGravityAcc","std","X",-0.987690217222222
"2159",8,"standing","tGravityAcc","std","Y",-0.958904114074074
"2160",8,"standing","tGravityAcc","std","Z",-0.918293913703704
"2161",8,"walking","fBodyAcc","mean","X",-0.247389011875
"2162",8,"walking","fBodyAcc","mean","Y",0.316982393333333
"2163",8,"walking","fBodyAcc","mean","Z",-0.238634594791667
"2164",8,"walking","fBodyAcc","std","X",-0.148386858858333
"2165",8,"walking","fBodyAcc","std","Y",0.32484493125
"2166",8,"walking","fBodyAcc","std","Z",-0.158437341970833
"2167",8,"walking","fBodyAccJerk","mean","X",-0.311198711041667
"2168",8,"walking","fBodyAccJerk","mean","Y",0.0796832872416667
"2169",8,"walking","fBodyAccJerk","mean","Z",-0.361563262083333
"2170",8,"walking","fBodyAccJerk","std","X",-0.271448185291667
"2171",8,"walking","fBodyAccJerk","std","Y",0.315883536479167
"2172",8,"walking","fBodyAccJerk","std","Z",-0.4044825094375
"2173",8,"walking","fBodyGyro","mean","X",-0.102063053808333
"2174",8,"walking","fBodyGyro","mean","Y",-0.259729692333333
"2175",8,"walking","fBodyGyro","mean","Z",-0.132902199479167
"2176",8,"walking","fBodyGyro","std","X",-0.234252005895833
"2177",8,"walking","fBodyGyro","std","Y",-0.1908057215
"2178",8,"walking","fBodyGyro","std","Z",-0.1429742348125
"2179",8,"walking","tBodyAcc","mean","X",0.27468631
"2180",8,"walking","tBodyAcc","mean","Y",-0.0186628865310417
"2181",8,"walking","tBodyAcc","mean","Z",-0.107252090833333
"2182",8,"walking","tBodyAcc","std","X",-0.173605736002083
"2183",8,"walking","tBodyAcc","std","Y",0.380782052708333
"2184",8,"walking","tBodyAcc","std","Z",-0.1420885318125
"2185",8,"walking","tBodyAccJerk","mean","X",0.0703393490833333
"2186",8,"walking","tBodyAccJerk","mean","Y",-0.00603947514583333
"2187",8,"walking","tBodyAccJerk","mean","Z",-0.000673798876875
"2188",8,"walking","tBodyAccJerk","std","X",-0.2586886278125
"2189",8,"walking","tBodyAccJerk","std","Y",0.233987544458333
"2190",8,"walking","tBodyAccJerk","std","Z",-0.383200596479167
"2191",8,"walking","tBodyGyro","mean","X",0.0235088228254167
"2192",8,"walking","tBodyGyro","mean","Y",-0.095791790535
"2193",8,"walking","tBodyGyro","mean","Z",0.0509657915395833
"2194",8,"walking","tBodyGyro","std","X",-0.1992097184375
"2195",8,"walking","tBodyGyro","std","Y",-0.2119972775
"2196",8,"walking","tBodyGyro","std","Z",-0.0754447842395833
"2197",8,"walking","tBodyGyroJerk","mean","X",-0.135886431360417
"2198",8,"walking","tBodyGyroJerk","mean","Y",-0.0314880905541667
"2199",8,"walking","tBodyGyroJerk","mean","Z",-0.0522683965333333
"2200",8,"walking","tBodyGyroJerk","std","X",-0.2460827504375
"2201",8,"walking","tBodyGyroJerk","std","Y",-0.428055700208333
"2202",8,"walking","tBodyGyroJerk","std","Z",-0.388446971666667
"2203",8,"walking","tGravityAcc","mean","X",0.913586347916667
"2204",8,"walking","tGravityAcc","mean","Y",-0.217102194583333
"2205",8,"walking","tGravityAcc","mean","Z",-0.186267836962021
"2206",8,"walking","tGravityAcc","std","X",-0.974752050208333
"2207",8,"walking","tGravityAcc","std","Y",-0.956781505625
"2208",8,"walking","tGravityAcc","std","Z",-0.956640104791667
"2209",8,"walking_downstairs","fBodyAcc","mean","X",0.136590199860526
"2210",8,"walking_downstairs","fBodyAcc","mean","Y",0.388412779763158
"2211",8,"walking_downstairs","fBodyAcc","mean","Z",0.159589756534211
"2212",8,"walking_downstairs","fBodyAcc","std","X",-0.0260463260078947
"2213",8,"walking_downstairs","fBodyAcc","std","Y",0.232184078052632
"2214",8,"walking_downstairs","fBodyAcc","std","Z",0.0214914840105263
"2215",8,"walking_downstairs","fBodyAccJerk","mean","X",0.214841402815789
"2216",8,"walking_downstairs","fBodyAccJerk","mean","Y",0.220639687868421
"2217",8,"walking_downstairs","fBodyAccJerk","mean","Z",0.0586096890447368
"2218",8,"walking_downstairs","fBodyAccJerk","std","X",0.172658982065789
"2219",8,"walking_downstairs","fBodyAccJerk","std","Y",0.273943791773684
"2220",8,"walking_downstairs","fBodyAccJerk","std","Z",-0.0846674186842105
"2221",8,"walking_downstairs","fBodyGyro","mean","X",-0.130740445236842
"2222",8,"walking_downstairs","fBodyGyro","mean","Y",0.116090879026316
"2223",8,"walking_downstairs","fBodyGyro","mean","Z",0.0277498065176316
"2224",8,"walking_downstairs","fBodyGyro","std","X",-0.302735102631579
"2225",8,"walking_downstairs","fBodyGyro","std","Y",-0.0461356322868421
"2226",8,"walking_downstairs","fBodyGyro","std","Z",-0.268253406210526
"2227",8,"walking_downstairs","tBodyAcc","mean","X",0.283484089210526
"2228",8,"walking_downstairs","tBodyAcc","mean","Y",-0.0211058674973684
"2229",8,"walking_downstairs","tBodyAcc","mean","Z",-0.107598135394737
"2230",8,"walking_downstairs","tBodyAcc","std","X",0.0241393473736842
"2231",8,"walking_downstairs","tBodyAcc","std","Y",0.343826273105263
"2232",8,"walking_downstairs","tBodyAcc","std","Z",0.1337170395
"2233",8,"walking_downstairs","tBodyAccJerk","mean","X",0.118938088342105
"2234",8,"walking_downstairs","tBodyAccJerk","mean","Y",-0.0380193846210526
"2235",8,"walking_downstairs","tBodyAccJerk","mean","Z",-0.0394356157631579
"2236",8,"walking_downstairs","tBodyAccJerk","std","X",0.250143724521053
"2237",8,"walking_downstairs","tBodyAccJerk","std","Y",0.288140718789474
"2238",8,"walking_downstairs","tBodyAccJerk","std","Z",-0.0135136269
